編號,車位類別,車位價格,車位面積平方公尺
RPRPMLPKOHMFFBB18CA,坡道機械,0,
RPRPMLPKOHMFFBB18CA,坡道機械,0,
RPSPMLPKOHMFFBB28CA,坡道平面,0,
RPSPMLPKOHMFFBB28CA,坡道平面,0,
RPUPMLPKOHMFFBB48CA,坡道機械,0,
RPUPMLPKOHMFFBB48CA,坡道機械,0,
RPXPMLPKOHMFFBB78CA,坡道平面,0,
RPXPMLPKOHMFFBB78CA,坡道平面,0,
RPXPMLPKOHMFFBB78CA,坡道機械,0,
RPXPMLPKOHMFFBB78CA,坡道機械,0,
RPOQMLPKOHMFFBB97CA,坡道平面,0,
RPOQMLPKOHMFFBB97CA,坡道平面,0,
RPOQMLPKOHMFFBB97CA,坡道平面,0,
RPOQMLPKOHMFFBB97CA,坡道機械,0,
RPOQMLPKOHMFFBB97CA,坡道機械,0,
RPPQMLLLOHMFFBB77CA,坡道機械,0,
RPSNMLNLNHMFFAB77CA,坡道機械,500000,10.70
RPQOMLNLNHMFFAB67CA,坡道平面,0,
RPSPMLOLNHMFFAB08CA,坡道平面,0,
RPOPMLMLNHMFFAB47CA,坡道平面,0,22.23
RPPPMLMLNHMFFAB57CA,坡道平面,0,28.45
RPWRMLQLNHMFFAB88CA,坡道平面,0,
RPXNMLRJOHMFFAB58CA,坡道平面,0,29.84
RPSOMLMKOHMFFAB77CA,坡道平面,1800000,25.46
RPTPMLOLNHMFFBB28CA,升降機械,650000,13.23
RPXNMLOKOHMFFAB38CA,坡道機械,1000000,23.68
RPOOMLNLNHMFFCL68CA,坡道平面,0,
RPUOMLOLNHMFFFL07CA,坡道平面,0,40.91
RPUNMLQLNHMFFFL17CA,坡道平面,0,
RPVOMLMLNHMFFFL96CA,坡道機械,0,
RPPNMLOLNHMFFFL09CA,坡道平面,1150000,43.17
RPQNMLOLNHMFFFL56CA,坡道平面,1150000,43.17
RPRNMLOLNHMFFFL66CA,坡道平面,1150000,43.17
RPOQMLNLNHMFFGL66CA,坡道平面,1150000,27.13
RPQQMLNLNHMFFGL86CA,坡道平面,990000,27.13
RPRQMLNLNHMFFGL96CA,坡道平面,1150000,27.13
RPTPMLSJOHMFFGL47CA,坡道平面,1110000,36.04
