鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
內湖區,房地(土地+建物),臺北市內湖區康寧路三段70巷121~150號,56.26,住,,,1060122,土地1建物1車位0,五層，夾層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0780807,158.29,4,3,3,有,有,16000000,101080,,0.0,0,含增建或未登記物。,RPOSMLQLNHMFFCA28CA
內湖區,房地(土地+建物)+車位,臺北市內湖區石潭路1~30號,25.73,其他,,,1060423,土地1建物1車位1,五層,十四層,辦公商業大樓,見其他登記事項,鋼筋混凝土造,0980831,128.1,1,1,1,有,有,17800000,138954,坡道平面,32.41,0,,RPPNMLLMNHMFFCA47CA
中山區,房地(土地+建物),臺北市中山區天祥路60巷1~30號,29.69,住,,,1060307,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710224,105.93,3,2,2,有,無,14700000,138771,,0.0,0,含增建或未登記建物。,RPUQMLQLNHMFFCA68CA
中山區,房地(土地+建物)+車位,臺北市中山區中山北路二段77巷1~30號,20.16,商,,,1060417,土地1建物2車位1,八層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0981027,217.22,3,2,2,有,有,48000000,220974,升降平面,22.27,0,含增建或未登記建物。,RPOQMLQLNHMFFCA08CA
內湖區,房地(土地+建物),臺北市內湖區民權東路六段121~150號,3.72,商,,,1060422,土地1建物1車位0,五層,十二層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0960621,36.96,1,1,1,有,有,6650000,179924,,0.0,0,,RPRPMLMKOHMFFCA87CA
中山區,房地(土地+建物),臺北市中山區松江路313巷1~30號,25.0,商,,,1060412,土地1建物1車位0,二層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0640906,78.19,4,2,3,有,無,13000000,166262,,0.0,0,親友、員工或其他特殊關係間之交易。,RPPNMLTJOHMFFCA08CA
內湖區,房地(土地+建物),臺北市內湖區內湖路一段47巷22弄1~30號,33.46,住,,,1060326,土地1建物1車位0,四層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821028,93.86,3,2,2,有,有,16800000,178990,,0.0,0,,RPXPMLNKOHMFFCA58CA
內湖區,車位,臺北市內湖區星雲街161巷1~30號,1.56,住,,,1060515,土地0建物0車位2,,,其他,,,,52.25,0,0,0,有,有,4000000,,坡道平面,52.24,4000000,,RPOQMLTKOHMFFCA38CA
內湖區,房地(土地+建物)+車位,臺北市內湖區內湖路二段241~270號,10.66,商,,,1060408,土地1建物1車位1,五層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050601,124.66999999999999,2,2,1,有,有,23130000,213899,坡道平面,26.82,2200000,,RPROMLQKOHMFFCA18CA
內湖區,房地(土地+建物),臺北市內湖區內湖路二段241~270號,7.57,商,,,1060504,土地1建物1車位0,十層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050601,76.16,1,1,1,有,有,16130000,211791,,0.0,0,,RPTOMLQKOHMFFCA38CA
信義區,房地(土地+建物),臺北市信義區光復南路481~510號,4.02,商,,,1060424,土地1建物1車位0,九層,十二層,套房(1房1廳1衛),商業用,鋼筋混凝土造,0780301,47.33,1,0,1,有,有,9800000,207057,,0.0,0,含增建或未登記建物。,RPSOMLPLNHMFFDA28CA
松山區,房地(土地+建物),臺北市松山區南京東路四段181~210號,9.99,商,,,1060501,土地1建物1車位0,五層,十二層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0740925,104.39999999999999,2,2,2,有,有,19500000,186782,,0.0,0,含增建或未登記建物。,RPSNMLQLNHMFFDA28CA
信義區,房地(土地+建物),臺北市信義區松隆路121~150號,4.71,其他,,,1060319,土地1建物1車位0,七層,十層,套房(1房1廳1衛),商業用,鋼筋混凝土造,0850925,37.78,1,1,1,有,有,9300000,246162,,0.0,0,含增建或未登記建物。,RPUNMLQLNHMFFDA48CA
信義區,房地(土地+建物),臺北市信義區松山路661~690號,27.01,住,,,1060411,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0750604,93.24,3,2,2,有,無,14500000,155513,,0.0,0,含增建或未登記建物。,RPXNMLQLNHMFFDA78CA
松山區,房地(土地+建物),臺北市松山區延壽街391~420號,25.6,住,,,1060326,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,97.44,3,2,1,有,無,18000000,184729,,0.0,0,,RPOOMLQLNHMFFDA97CA
松山區,房地(土地+建物),臺北市松山區復興北路391~420號,25.52,商,,,1060319,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,0700910,118.15,3,2,2,有,無,21350000,180702,,0.0,0,含增建或未登記建物。,RPQOMLQLNHMFFDA18CA
松山區,房地(土地+建物),臺北市松山區八德路四段421~450號,3.74,商,,,1060406,土地1建物1車位0,六層,十四層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0970205,38.51,1,1,1,有,有,7950000,206440,,0.0,0,,RPXOMLQLNHMFFDA88CA
南港區,房地(土地+建物),臺北市南港區東明街1巷1~30號,5.19,住,,,1060519,土地2建物1車位0,一層，平台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,11.78,3,1,1,有,無,1000000,84890,,0.0,0,兄妹之共有人間的買賣,RPPPMLQLNHMFFDA18CA
南港區,房地(土地+建物)+車位,臺北市南港區研究院路二段61~90號,44.93,住,,,1060503,土地1建物1車位2,六層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020603,285.62,4,2,2,有,有,41000000,143547,坡道機械,28.84,0,,RPPNMLPJOHMFFDA77CA
松山區,車位,臺北市松山區敦化北路155巷100弄1~30號,0.48,住,,,1060510,土地0建物0車位1,一層，地下一層，地下二層，地下三層,十七層,其他,停車空間,鋼筋混凝土造,0881022,40.11,0,0,0,有,有,2700000,,坡道平面,40.11,2700000,,RPQPMLMJOHMFFDA77CA
松山區,房地(土地+建物),臺北市松山區南京東路五段31~60號,5.81,其他,,,1060311,土地1建物1車位0,五層,十九層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0790216,70.47,0,0,0,無,有,15400000,218533,,0.0,0,,RPQNMLQJOHMFFDA97CA
