編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
RPPNMLOKOHMFFBC77CA,54,59.25,住家用,磚造,52年1月15日,一層,一層
RPQNMLSKOHMFFBC28CA,19,76.96,住家用,鋼筋混凝土造,87年6月10日,五層,一層
RPQNMLSKOHMFFBC28CA,19,20.75,共用部份,鋼筋混凝土造,87年6月10日,五層,
RPQNMLTJOHMFFBC28CA,9,27.96,共用部份,鋼骨鋼筋混凝土造,97年2月4日,三十一層,
RPWNMLQJOHMFFBC58CA,30,77.75,住家用,鋼筋混凝土造,76年2月18日,十層,十層
RPWNMLQJOHMFFBC58CA,30,18.02,共用部份,鋼筋混凝土造,76年2月18日,十層,
RPTNMLLMNHMFFBC97CA,4,195.25,住家用,鋼筋混凝土造,102年7月22日,十八層,二層
RPTNMLLMNHMFFBC97CA,4,82.68,見其他登記事項,鋼筋混凝土造,102年7月22日,十八層,
RPTNMLLMNHMFFBC97CA,4,.13,見其他登記事項,鋼筋混凝土造,102年7月22日,十八層,一層
RPTNMLLMNHMFFBC97CA,4,63.01,見其他登記事項,鋼筋混凝土造,102年7月22日,十八層,
RPQOMLLMNHMFFBC77CA,21,123.07,住家用,鋼筋混凝土造,85年3月9日,十四層,三層
RPQOMLLMNHMFFBC77CA,21,21.91,共用部份,鋼筋混凝土造,85年3月9日,十五層,
RPUNMLQLNHMFFBC48CA,22,109.86,住家用,鋼筋混凝土造,84年1月27日,七層,五層
RPUNMLQLNHMFFBC48CA,22,17.00,共用部份,鋼筋混凝土造,84年1月27日,十層,
RPUNMLQLNHMFFBC48CA,22,4.45,共用部份,鋼筋混凝土造,84年1月27日,九層,
RPPNMLPJOHMFFBC77CA,20,76.76,住家用,鋼筋混凝土造,85年11月29日,二十三層,十九層
RPPNMLPJOHMFFBC77CA,20,10.41,共用部份,鋼筋混凝土造,85年11月29日,二十三層,
RPPNMLPJOHMFFBC77CA,20,4.16,共用部份,鋼筋混凝土造,85年11月29日,二十三層,
RPPNMLPJOHMFFBC77CA,20,6.25,共用部份,鋼筋混凝土造,85年11月29日,二十三層,
RPROMLNJOHMFFBC87CA,51,33.04,住商用,磚造,55年11月1日,四層,一層 二層 三層 四層
RPUOMLLMNHMFFBC18CA,20,76.38,住家用,鋼筋混凝土造,85年11月19日,五層,二層
RPUOMLLMNHMFFBC18CA,20,23.18,共用部份,鋼筋混凝土造,85年11月19日,五層,
RPPOMLMJOHMFFBC57CA,1,290.44,見其他登記事項,鋼筋混凝土造,105年4月20日,五層,一層 二層 三層 四層 五層 屋頂突出物
RPQOMLMJOHMFFBC67CA,48,87.32,住家用,加強磚造,58年6月23日,四層,四層
RPSNMLLJOHMFFBC67CA,22,38.85,住家用,鋼筋混凝土造,84年8月21日,九層,六層
RPSNMLLJOHMFFBC67CA,22,6.98,共用部份,鋼筋混凝土造,84年8月21日,九層,
RPUNMLLMNHMFFBC08CA,38,85.24,住家用,鋼筋混凝土造,68年8月28日,五層,四層
RPOOMLRJOHMFFBC97CA,21,172.31,住家用,鋼筋混凝土造,84年12月7日,四層,一層 二層 三層 四層
RPROMLLLOHMFFBC87CA,18,57.92,住家用,鋼筋混凝土造,88年1月14日,十六層,十三層
RPROMLLLOHMFFBC87CA,18,8.24,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPROMLLLOHMFFBC87CA,18,.70,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPROMLLLOHMFFBC87CA,18,2.10,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPROMLLLOHMFFBC87CA,18,1.41,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPROMLLLOHMFFBC87CA,18,.69,共用部份,鋼筋混凝土造,88年1月14日,十六層,
RPQNMLQJOHMFFCC08CA,10,242.59,見其他登記事項,鋼筋混凝土造,95年6月23日,四層,一層 二層 三層 四層 屋頂突出物
RPQNMLQJOHMFFCC08CA,10,1.73,共用部份,鋼筋混凝土造,95年6月23日,四層,
RPQNMLQJOHMFFCC08CA,10,1.65,共用部份,鋼筋混凝土造,95年6月23日,四層,
RPQNMLQJOHMFFCC08CA,10,232.08,見其他登記事項,鋼筋混凝土造,95年6月23日,四層,一層 二層 三層 四層 屋頂突出物
RPOPMLMJOHMFFCC67CA,9,252.41,見其他登記事項,鋼筋混凝土造,97年9月8日,四層,一層 二層 三層 四層 屋頂突出物
RPOPMLMJOHMFFCC67CA,9,8.58,共用部份,鋼筋混凝土造,97年9月8日,五層,
RPPPMLMJOHMFFCC77CA,35,75.95,住家用,鋼筋混凝土造,70年12月29日,五層,三層
RPQPMLMJOHMFFCC87CA,4,75.36,見其他登記事項,鋼筋混凝土造,102年9月11日,十四層,十二層
RPQPMLMJOHMFFCC87CA,4,42.49,見其他登記事項,鋼筋混凝土造,102年9月11日,十四層,
RPQPMLMJOHMFFCC87CA,4,9.80,見其他登記事項,鋼筋混凝土造,102年9月11日,十四層,
RPUNMLLMNHMFFCC18CA,,90.68,見其他登記事項,鋼筋混凝土造,106年1月19日,七層,一層
RPUNMLLMNHMFFCC18CA,,58.88,見其他登記事項,鋼筋混凝土造,106年1月19日,七層,
RPUNMLLMNHMFFCC18CA,,24.84,見其他登記事項,鋼筋混凝土造,106年1月19日,七層,
RPUNMLLMNHMFFCC18CA,,.42,見其他登記事項,鋼筋混凝土造,106年1月19日,七層,二層
RPUNMLLMNHMFFCC18CA,,.19,見其他登記事項,鋼筋混凝土造,106年1月19日,七層,
RPVNMLLMNHMFFCC28CA,,89.92,見其他登記事項,鋼筋混凝土造,106年1月19日,七層,二層
RPVNMLLMNHMFFCC28CA,,24.84,見其他登記事項,鋼筋混凝土造,106年1月19日,七層,
RPVNMLLMNHMFFCC28CA,,23.74,見其他登記事項,鋼筋混凝土造,106年1月19日,七層,
RPVNMLLMNHMFFCC28CA,,.42,見其他登記事項,鋼筋混凝土造,106年1月19日,七層,二層
RPVNMLLMNHMFFCC28CA,,.19,見其他登記事項,鋼筋混凝土造,106年1月19日,七層,
RPWNMLLMNHMFFCC38CA,,89.51,見其他登記事項,鋼筋混凝土造,106年1月19日,七層,五層
RPWNMLLMNHMFFCC38CA,,57.52,見其他登記事項,鋼筋混凝土造,106年1月19日,七層,
RPWNMLLMNHMFFCC38CA,,19.09,見其他登記事項,鋼筋混凝土造,106年1月19日,七層,
RPWNMLLMNHMFFCC38CA,,.42,見其他登記事項,鋼筋混凝土造,106年1月19日,七層,二層
RPWNMLLMNHMFFCC38CA,,.19,見其他登記事項,鋼筋混凝土造,106年1月19日,七層,
RPPNMLLMNHMFFCC67CA,18,86.47,住家用,鋼筋混凝土造,88年7月23日,五層,三層
RPPNMLLMNHMFFCC67CA,18,4.19,共用部份,鋼筋混凝土造,88年7月23日,五層,
RPPNMLLMNHMFFCC67CA,18,9.69,共用部份,鋼筋混凝土造,88年7月23日,五層,
RPXNMLRJOHMFFBC88DA,38,106.05,住商用,鋼筋混凝土造,68年8月14日,三層,一層 二層 三層 騎樓
RPQNMLSKOHMFFCC38CA,35,111.22,住家用,鋼筋混凝土造,70年12月7日,四層,二層
RPQNMLTJOHMFFCC38CA,22,97.76,住家用,鋼筋混凝土造,84年5月12日,五層,四層
RPQNMLTJOHMFFCC38CA,22,55.84,共用部份,鋼筋混凝土造,84年5月12日,五層,
RPQNMLMKOHMFFCC77CA,22,3.37,見其他登記事項,鋼筋混凝土造,84年1月17日,四層,一層 二層 三層 四層
RPQNMLMKOHMFFCC77CA,20,14.78,共用部份,鋼筋混凝土造,86年4月1日,五層,
RPQNMLMKOHMFFCC77CA,20,74.11,住家用,鋼筋混凝土造,86年4月1日,五層,一層
RPWNMLRJOHMFFCC78CA,21,74.02,住家用,鋼筋混凝土造,85年7月5日,七層,六層
RPWNMLRJOHMFFCC78CA,21,11.51,共用部份,鋼筋混凝土造,85年7月5日,七層,
RPWNMLRJOHMFFCC78CA,21,2.57,共用部份,鋼筋混凝土造,85年7月5日,七層,
RPWNMLRJOHMFFCC78CA,21,30.03,共用部份,鋼筋混凝土造,85年7月5日,七層,
RPVNMLSJOHMFFCC78CA,22,62.48,住家用,鋼筋混凝土造,84年9月15日,六層,三層
RPVNMLSJOHMFFCC78CA,22,15.33,共用部份,鋼筋混凝土造,84年9月15日,六層,
RPXOMLOKOHMFFCC78CA,21,57.13,住家用,鋼筋混凝土造,85年2月16日,七層,二層
RPXOMLOKOHMFFCC78CA,21,10.71,共用部份,鋼筋混凝土造,85年2月16日,七層,
RPQNMLLMNHMFFCC77CA,18,86.47,住家用,鋼筋混凝土造,88年7月23日,五層,二層
RPQNMLLMNHMFFCC77CA,18,4.19,共用部份,鋼筋混凝土造,88年7月23日,五層,
RPQNMLLMNHMFFCC77CA,18,33.07,共用部份,鋼筋混凝土造,88年7月23日,五層,
RPQNMLLMNHMFFCC77CA,18,9.69,共用部份,鋼筋混凝土造,88年7月23日,五層,
RPUNMLLJOHMFFCC97CA,1,51.68,見其他登記事項,鋼筋混凝土造,105年1月24日,二十二層,六層
RPUNMLLJOHMFFCC97CA,1,.01,見其他登記事項,鋼筋混凝土造,105年1月24日,,地下二層
RPUNMLLJOHMFFCC97CA,1,.00,見其他登記事項,鋼筋混凝土造,105年1月24日,二十三層,
RPUNMLLJOHMFFCC97CA,1,.00,見其他登記事項,鋼筋混凝土造,105年1月24日,二十五層,
RPUNMLLJOHMFFCC97CA,1,.50,見其他登記事項,鋼筋混凝土造,105年1月24日,二十三層,
RPUNMLLJOHMFFCC97CA,1,21.12,見其他登記事項,鋼筋混凝土造,105年1月24日,二十五層,
RPROMLLJOHMFFCC77CA,11,272.77,見其他登記事項,鋼筋混凝土造,95年8月2日,四層,一層 二層 三層 四層 屋頂突出物
RPSOMLLJOHMFFCC87CA,18,85.47,住家用,鋼筋混凝土造,88年1月14日,十二層,一層
RPSOMLLJOHMFFCC87CA,18,4.16,共用部份,鋼筋混凝土造,88年1月14日,十三層,
RPSOMLLJOHMFFCC87CA,18,44.15,共用部份,鋼筋混凝土造,88年1月14日,十三層,
RPPOMLLJOHMFFCC57CA,25,78.94,住家用,鋼筋混凝土造,80年12月9日,五層,五層
RPPOMLLJOHMFFCC57CA,25,.99,共用部份,鋼筋混凝土造,80年12月9日,五層,
RPSOMLNJOHMFFCC08CA,42,47.34,住家用,鋼筋混凝土加強磚造,64年8月20日,四層,一層
RPSOMLNJOHMFFCC08CA,42,3.62,共用部份,鋼筋混凝土加強磚造,64年8月20日,四層,
RPQOMLPJOHMFFCC08CA,20,88.66,住家用,鋼筋混凝土造,86年4月1日,五層,五層
RPQOMLPJOHMFFCC08CA,20,18.19,共用部份,鋼筋混凝土造,86年4月1日,五層,
RPQOMLPJOHMFFCC08CA,22,3.37,見其他登記事項,鋼筋混凝土造,84年1月17日,四層,一層 二層 三層 四層
RPXNMLPKOHMFFBC68CA,40,94.61,住家用,鋼筋混凝土加強磚造,65年9月30日,五層,五層
RPRNMLRJOHMFFBC18CA,19,46.58,住家用,鋼筋混凝土造,86年11月21日,十八層,二層
RPRNMLRJOHMFFBC18CA,19,10.50,共用部份,鋼筋混凝土造,86年11月21日,十八層,
RPRNMLRJOHMFFBC18CA,19,4.29,共用部份,鋼筋混凝土造,86年11月21日,二十一層,
RPRNMLRJOHMFFBC18CA,19,34.17,共用部份,鋼筋混凝土造,86年11月21日,二十一層,
RPSNMLTJOHMFFBC48CA,18,79.68,住家用,鋼筋混凝土造,88年1月22日,七層,七層
RPSNMLTJOHMFFBC48CA,18,14.62,共用部份,鋼筋混凝土造,88年1月22日,七層,
RPSNMLTJOHMFFBC48CA,18,5.32,共用部份,鋼筋混凝土造,88年1月22日,七層,
RPSNMLTJOHMFFBC48CA,18,34.92,共用部份,鋼筋混凝土造,88年1月22日,七層,
RPSNMLTJOHMFFBC48CA,18,2.11,共用部份,鋼筋混凝土造,88年1月22日,七層,
RPPNMLLKOHMFFBC47CA,38,80.04,住家用,鋼筋混凝土造,68年8月24日,五層,四層
RPXNMLMJOHMFFBC28CA,20,81.82,住家用,鋼筋混凝土造,86年6月7日,六層,四層
RPXNMLMJOHMFFBC28CA,20,8.11,共用部份,鋼筋混凝土造,86年6月7日,六層,
RPXNMLMJOHMFFBC28CA,20,4.13,共用部份,鋼筋混凝土造,86年6月7日,六層,
RPXNMLMJOHMFFBC28CA,20,10.40,共用部份,鋼筋混凝土造,86年6月7日,六層,
RPOOMLMJOHMFFBC47CA,37,72.41,住家用,鋼筋混凝土造,69年5月6日,五層,四層
RPQNMLPJOHMFFBC87CA,37,52.61,住家用,鋼筋混凝土造,69年3月20日,四層,地下層
