鄉鎮市區,租賃標的,土地區段位置或建物區門牌,租賃總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,租賃總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價每平方公尺,車位類別,租賃總面積平方公尺,租金總額元,備註,編號
前金區,建物,高雄市前金區中正四路151~180號,0.0,商,,,1060515,土地0建物1車位0,十一層,13,辦公商業大樓,商業用,鋼筋混凝土造,0830311,329.25,0,0,0,無,有,無,39900,121,,0.0,0,,RPTNMLTKNHMFFAE88CC
鼓山區,房地(土地+建物),高雄市鼓山區龍勝路91~120號,9.16,商,,,1060512,土地1建物1車位0,十五層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950126,96.66,3,2,1,有,有,有,20000,207,,0.0,0,,RPWNMLTKNHMFFAE56CC
鼓山區,房地(土地+建物),高雄市鼓山區南屏路541~570號,14.75,商,,,1060421,土地1建物1車位0,十層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0940921,157.04,2,2,2,有,有,有,23000,146,,0.0,0,,RPROMLTKNHMFFAE78CC
鼓山區,房地(土地+建物),高雄市鼓山區龍德路331~360號,6.84,商,,,1060422,土地1建物1車位0,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950203,74.22,2,2,1,有,有,有,13000,175,,0.0,0,,RPSOMLTKNHMFFAE88CC
苓雅區,房地(土地+建物),高雄市苓雅區自強三路151~180號,5.35,商,,,1060517,土地1建物1車位0,六層,13,套房(1房1廳1衛),住家用,鋼筋混凝土造,0970919,47.849999999999994,1,1,1,有,有,有,17000,355,,0.0,0,,RPXNMLTKNHMFFBE76CC
苓雅區,建物,高雄市苓雅區青年二路31~60號,0.0,商,,,1060511,土地0建物1車位0,七層,12,辦公商業大樓,,鋼筋混凝土造,0791110,94.07,0,0,0,無,有,無,10000,106,,0.0,0,,RPROMLTKNHMFFBE88CC
苓雅區,建物,高雄市苓雅區海邊路31~60號,0.0,商,,,1060511,土地0建物1車位1,十五層,27,辦公商業大樓,商業用,鋼造,0860212,179.42,0,0,0,無,有,無,22000,123,坡道平面,0.0,0,租金含1個坡道平面車位,RPSOMLTKNHMFFBE98CC
新興區,建物,高雄市新興區中山一路91~120號,0.0,商,,,1060518,土地0建物1車位0,九層,10,辦公商業大樓,,鋼筋混凝土造,0651124,103.3,0,0,0,無,有,無,15500,150,,0.0,0,9樓為整層屋主自行隔間出租,RPTOMLTKNHMFFBE09CC
苓雅區,房地(土地+建物),高雄市苓雅區高雄市苓雅區文橫二路1~30號,4.28,住,,,1060512,土地1建物1車位0,十一層,12,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0710430,40.65,1,0,1,有,有,有,9000,221,,0.0,0,,RPUOMLTKNHMFFBE56CC
苓雅區,房地(土地+建物),高雄市苓雅區武廟路91~120號,8.09,商,,,1060508,土地1建物1車位0,十二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030127,86.67,1,2,1,有,有,有,18000,208,,0.0,0,,RPVOMLTKNHMFFBE66CC
新興區,建物,高雄市新興區文化路91~120號,0.0,商,,,1060512,土地0建物1車位0,一層,7,店面(店鋪),,鋼筋混凝土造,0691212,75.09,0,1,1,有,無,無,110000,1465,,0.0,0,,RPWPMLTKNHMFFBE86CC
前金區,房地(土地+建物),高雄市前金區中華三路61~90號,582.0,商,,,1060515,土地2建物1車位0,見其它登記事項,2,店面(店鋪),,鋼筋混凝土造,0710202,710.85,0,0,0,無,無,無,230000,324,,0.0,0,,RPPNMLKLNHMFFAE67CC
鹽埕區,房地(土地+建物)+車位,高雄市鹽埕區五福四路1~30號,35.81,商,,,1060515,土地1建物1車位3,見其它登記事項,13,店面(店鋪),商業用,鋼筋混凝土造,0870310,353.56,0,0,0,無,有,無,60000,170,升降平面,24.87,0,,RPRNMLKLNHMFFAE87CC
鼓山區,房地(土地+建物),高雄市鼓山區九如四路700巷61~90號,63.0,住,,,1060420,土地1建物1車位0,全,2,透天厝,,加強磚造,0600201,80.51,2,2,2,有,無,無,10000,124,,0.0,0,,RPUNMLKLNHMFFAE18CC
岡山區,房地(土地+建物),高雄市岡山區永樂街3巷1~30號,76.0,住,,,1060521,土地1建物1車位0,全,2,透天厝,住家用,加強磚造,0610630,87.24,3,1,1,有,無,有,10000,115,,0.0,0,,RPPNMLLLNHMFFFE28CC
三民區,房地(土地+建物)+車位,高雄市三民區九如一路31~60號,38.31,商,,,1060424,土地2建物1車位1,三層,14,辦公商業大樓,,鋼筋混凝土造,0801218,213.01999999999998,0,0,0,無,有,無,20000,94,坡道機械,0.0,0,,RPQPMLMLNHMFFDE58DC
大社區,房地(土地+建物),高雄市大社區中山路1~30號,163.0,住,,,1060502,土地1建物1車位0,一層,1,其他,住商用,加強磚造,0671115,106.46,0,0,0,無,無,無,52000,488,,0.0,0,106.06.10至109.06.09每月租金為新台幣52000元整。109.06.10至111.06.09每月租金為新台幣54000元整。,RPSOMLMLNHMFFIE09CC
左營區,房地(土地+建物),高雄市左營區城峰路1~30號,23.0,住,,,1060515,土地1建物1車位0,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970410,202.77,4,2,2,有,有,有,24974,123,,0.0,0,租金內含稅金,RPTQMLMLNHMFFEE98CC
左營區,房地(土地+建物),高雄市左營區自由二路211~240號,170.0,住,,,1060520,土地1建物1車位0,見其它登記事項,5,店面(店鋪),住商用,鋼筋混凝土造,0960131,422.49,0,0,0,無,無,無,120000,284,,0.0,0,,RPSRMLMLNHMFFEE98CC
前鎮區,建物,高雄市前鎮區二聖二路31~60號,0.0,,,,1060424,土地0建物1車位0,全,3,透天厝,,鋼筋混凝土造,0640822,44.91,0,1,1,有,無,無,14000,312,,0.0,0,,RPTNMLMLNHMFFCE48CC
前鎮區,建物,高雄市前鎮區育群街239巷1~30號,47.0,住,,,1060505,土地0建物1車位0,全,4,透天厝,住家用,加強磚造,0600628,35.47,1,1,1,有,無,有,7000,197,,0.0,0,,RPXNMLMLNHMFFCE88CC
鳳山區,房地(土地+建物),高雄市鳳山區鳳南路151~180號,69.0,住,,,1060510,土地1建物1車位0,全,4,透天厝,住商用,加強磚造,0620418,108.56,3,3,4,有,無,無,22000,203,,0.0,0,,RPOOMLMLNHMFFGE48CC
鳳山區,房地(土地+建物),高雄市鳳山區鳳南路151~180號,69.0,住,,,1060510,土地1建物1車位0,全,4,透天厝,住商用,加強磚造,0620418,108.56,3,3,4,有,無,無,22000,203,,0.0,0,,RPPOMLMLNHMFFGE58CC
鹽埕區,房地(土地+建物),高雄市鹽埕區五福四路271~300號,12.12,住,,,1060522,土地1建物1車位0,三層,9,華廈(10層含以下有電梯),,鋼筋混凝土造,0710904,73.87,3,2,1,有,無,有,11000,149,,0.0,0,,RPUPMLMLNHMFFAE58CC
三民區,房地(土地+建物),高雄市三民區褒揚東街162巷31~60號,13.52,住,,,1060521,土地1建物1車位0,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010927,85.46000000000001,2,1,1,有,有,無,17500,205,,0.0,0,,RPTNMLMLNHMFFDE58CC
三民區,房地(土地+建物),高雄市三民區慶雲街91~120號,9.31,商,,,1060521,土地1建物1車位0,一層,26,店面(店鋪),商業用,鋼筋混凝土造,0841219,166.92,0,0,0,無,有,無,20000,120,,0.0,0,,RPPOMLMLNHMFFDE28CC
三民區,房地(土地+建物),高雄市三民區義華路287巷1~30號,25.09,住,,,1060511,土地1建物1車位0,三層,5,公寓(5樓含以下無電梯),,鋼筋混凝土造,0700124,64.86,3,1,2,有,有,有,11000,170,,0.0,0,,RPRPMLMLNHMFFDE58CC
苓雅區,建物,高雄市苓雅區建國一路61~90號,29.07,商,,,1060520,土地0建物1車位0,一層,5,公寓(5樓含以下無電梯),,鋼筋混凝土造,0681011,44.1,1,0,1,有,無,無,10000,227,,0.0,0,,RPTNMLMLNHMFFBE38CC
苓雅區,建物,高雄市苓雅區新光路62巷1~30號,0.0,商,,,1060517,土地0建物1車位0,二十八層,35,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860421,251.92,5,2,4,有,有,有,19337,77,,0.0,0,,RPUNMLMLNHMFFBE48CC
苓雅區,房地(土地+建物),高雄市苓雅區仁智街211~240號,19.16,住,,,1060511,土地1建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0600520,86.91,3,2,2,有,無,無,10000,115,,0.0,0,,RPXNMLMLNHMFFBE78CC
三民區,房地(土地+建物),高雄市三民區林森一路345巷1~30號,78.0,商,,,1060516,土地2建物1車位0,全,3,透天厝,,加強磚造,0561029,126.45,4,2,4,有,無,有,15000,119,,0.0,0,,RPPPMLNLNHMFFDE48CC
三民區,房地(土地+建物),高雄市三民區歸綏街151~180號,12.4,住,,,1060514,土地1建物1車位0,四層,5,公寓(5樓含以下無電梯),,鋼筋混凝土造,0690828,36.28,1,1,1,有,無,有,5000,138,,0.0,0,,RPQPMLNLNHMFFDE58CC
前金區,房地(土地+建物),高雄市前金區自強二路203巷31~60號,29.4,商,,,1060507,土地1建物1車位0,五層,5,公寓(5樓含以下無電梯),,鋼筋混凝土造,0700810,118.75,3,2,2,有,無,無,10000,84,,0.0,0,,RPQOMLNLNHMFFAE18CC
大樹區,房地(土地+建物),高雄市大樹區瓦厝街1~30號,332.66,工,,,1060425,土地1建物1車位0,見其他登記事項,1,工廠,見其他登記事項,見其他登記事項,1030328,195.56,0,0,1,有,無,無,48000,,,0.0,0,,RPOPMLNLNHMFFGE68CC
大樹區,房地(土地+建物),高雄市大樹區溪埔路一巷1~30號,3348.61,,特定農業區,農牧用地,1060426,土地1建物1車位0,全,3,透天厝,農舍,加強磚造,0690924,147.29,0,0,0,無,無,無,12000,81,,0.0,0,,RPRPMLNLNHMFFGE98CC
左營區,房地(土地+建物),高雄市左營區德威街1~30號,13.45,住,,,1060522,土地1建物1車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830512,71.93,2,1,1,有,有,有,11000,153,,0.0,0,,RPWNMLNLNHMFFEE09CC
楠梓區,土地,藍田中段211~240地號,195.04,住,,,1060428,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,50700,260,,0.0,0,,RPSPMLNLNHMFFEE88CC
楠梓區,土地,藍田中段211~240地號,380.17,住,,,1060428,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,無,101300,266,,0.0,0,,RPUPMLNLNHMFFEE09CC
左營區,房地(土地+建物)+車位,高雄市左營區新莊一路271~300號,13.41,住,,,1060427,土地1建物1車位1,二層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950505,108.74000000000001,3,2,2,有,無,無,16000,147,坡道平面,13.22,0,,RPVPMLNLNHMFFEE56CC
左營區,房地(土地+建物)+車位,高雄市左營區南屏路241~270號,16.81,住,,,1060513,土地1建物1車位1,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1021227,92.61,2,1,1,有,有,無,18000,194,升降機械,11.74,0,,RPWPMLNLNHMFFEE66CC
